NAME,RATING,AREA,DISHES,APPROX,DISC
The Founders Brewery,4.7,"New BEL Road, North Bengaluru","Chinese, North Indian",₹ 2000 for two approx.,25% Off
Chin Lung Brewery,4.6,"Indiranagar, East Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off
46 Ounces Brewgarden,4.7,"Electronic City, South Bengaluru","Cocktail Menu, Multicuisine",₹ 2000 for two approx.,15% Off + 25% Off
Old Mill,4.7,"Varthur Main Road, Whitefield",Multicuisine,₹ 2000 for two approx.,25% Off
Yuki Cocktail Bar & Kitchen,4.7,"Indiranagar, East Bengaluru","Cocktail Menu, Pan Asian, Asian",₹ 2000 for two approx.,25% Off
Jollygunj,4.3,"JP Nagar, South Bengaluru",Indian,₹ 2500 for two approx.,25% Off
The Fisherman's Wharf,4.5,"Sarjapur Road, South Bengaluru  | View All(1) Outlets","Seafood, Indian Coastal Cuisine, Multicuisine",₹ 2000 for two approx.,25% Off
Khmer Kitchen,4.7,"JP Nagar, South Bengaluru",Asian,₹ 2000 for two approx.,25% Off
1 BHK - Bar House Kitchen,4.4,"Koramangala, South Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off
DISTRICT 6,4.4,"Rajajinagar, West Bengaluru","Cocktail Menu, Multicuisine",₹ 2000 for two approx.,25% Off
ABV- Artisanal Bier Village,4.6,"Whitefield, East Bengaluru",Multicuisine,₹ 2500 for two approx.,10% Off + 25% Off
The Scene - Craft Kitchen & Bar,4.0,"JP Nagar, South Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off
Maize & Malt,4.6,"Krishnarajapuram Hobli, Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off
Daddy,4.1,"Indiranagar, East Bengaluru","Pan Asian, Cocktail Menu",₹ 2000 for two approx.,25% Off
Jollygunj,4.2,"Whitefield, East Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off
Yuki - Brewhouse and Kitchen,4.6,"Koramangala, South Bengaluru","Pan Asian, Cocktail Menu",₹ 2000 for two approx.,25% Off
 William John's Pizza,4.9,"Horamavu, Bengaluru","American, Italian",₹ 2000 for two approx.,25% Off
